address,title,area,sex_landlord,rent_cost_day,name_landlord,layout,city,sumpeople,beds,link,rate
北京市朝阳区惠新东街甲3号楼,【商旅首选】近鸟巢外经贸惠新西街北口阳光主卧,20平米,Male,258,javonjiang,2室2厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/16007105403.html,5分
北京市海淀区莲宝路,直达北京站近地铁1号线301医院天安门北海,112平米,Female,498,高兴的home,2室1厅1卫1厨2阳台,北京,宜住7人,共4张,http://bj.xiaozhu.com/fangzi/4915383714.html,5分
北京市朝阳区世纪东方嘉园北区,【Piu Piu】北欧性冷淡风三居室 邻地铁,102平米,Female,698,雪snow_,3室1厅1卫1厨1阳台,北京,宜住6人,共3张,http://bj.xiaozhu.com/fangzi/17400412103.html,5分
北京市朝阳区金隅凤麟洲,朝阳大悦城青年路欧式田园阳光次卧,15平米,Female,218,in巴黎清晨,2室2厅2卫1厨1阳台,北京,宜住1人,共1张,http://bj.xiaozhu.com/fangzi/17462338503.html,nan
北京市朝阳区沿海赛洛城,近国贸7号线百子湾站大空间一居-恋爱的马卡龙,62平米,Female,498,小秀才,1室1厅1卫1厨0阳台,北京,宜住1人,共3张,http://bj.xiaozhu.com/fangzi/19147564303.html,nan
北京市朝阳区百子湾东里沿海赛洛城406号,7号线（温馨小窝）百子湾邻国贸CBDLOFT,62平米,Female,448,小小珊,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/19487749803.html,nan
北京市朝阳区建国路88号SOHO现代城1号楼,【探索者之家】国贸CBD女生床位独卫 星宿1,5平米,Male,130,探索者之家,3室1厅2卫1厨1阳台,北京,宜住1人,共2张,http://bj.xiaozhu.com/fangzi/6145828315.html,5分
北京市朝阳区高碑店甘露园南里三区,四惠东1号线青年路6号线 文艺自然清新二居租,86平米,Female,486,yuanyuan圈圈,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/2913942963.html,5分
北京市通州区次渠V公馆,万科地产城市之光,83平米,Male,418,非凡猪猪,1室1厅2卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/17634258003.html,nan
北京市西城区吾家可归01号-后海南沿,后海的家—海景房（观海、吹海风的最佳场所）,55平米,Male,1200,吾家可归,1室1厅2卫0厨1阳台,北京,宜住3人,共2张,http://bj.xiaozhu.com/fangzi/6214168916.html,4.9分
北京市朝阳区悠唐生活广场,全屋防霾净气@朝阳门地铁站+悠唐+带阳台,22平米,Female,258,Queena_Ko,3室1厅1卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/4046856430.html,5分
北京市朝阳区沿海赛洛城,东四环7号线欧式复式loft房~75平米,65平米,Female,480,美沙朵,1室1厅1卫1厨1阳台,北京,宜住3人,共1张,http://bj.xiaozhu.com/fangzi/17890043303.html,5分
北京市朝阳区大望路地铁站B口向东800米慧聚公寓,HolyNite红糖情调室五分钟一号线国贸,45平米,Female,488,HolyNite情调室,1室0厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/12365835402.html,5分
北京市东城区南锣鼓巷,中戏、南锣、后海近地铁6/8号线南锣清新单间,12平米,Female,229,小肖肖,3室1厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/357151300.html,4.9分
北京市朝阳区北京像素,市中心/南锣鼓巷/天安门直达，6号线LOFT,15平米,Male,168,北京像素好房东,2室1厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/560232101.html,4.8分
北京市海淀区罗庄东里,临北医三院中关村，知春路地铁旁温馨主卧,25平米,Female,198,雨燕99,2室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/1255480235.html,5分
北京市西城区红莲北里11号楼,【日光倾城】7号线金融街西单西站南站音乐学院,20平米,Female,238,爱幻想的兔子,2室1厅1卫1厨2阳台,北京,宜住2人,共2张,http://bj.xiaozhu.com/fangzi/6942947715.html,5分
北京市朝阳区美景东方,近十号线潘家园、北工大、欢乐谷主卧飘窗宜家风,12平米,Female,238,叮叮的家,2室2厅1卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/9755163464.html,5分
北京市通州区百合湾,通州武夷花园耿庄，工业风复式两居室,76平米,Female,388,噜啦噜啦,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/5417727414.html,5分
北京市朝阳区四惠地铁旁惠泽园小区,长安街沿线国贸附近“金色年华”两居室,60平米,Female,468,lily家园,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/8959368264.html,4.9分
北京市朝阳区大山子彩虹路6号(798艺术区往北300米),01独立卫浴、紧邻798、望京、酒仙桥。,25平米,Female,288,暖阳洋Sunny,3室1厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/860516339.html,4.9分
北京市朝阳区东柏街10号院时代国际嘉园,长租优惠【北欧麋鹿之家】CBD国贸地铁3分钟,45平米,Female,358,猪小春,1室0厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/5700411214.html,4.8分
北京市朝阳区甜水园北里7号楼,金台路地铁，紧临大望路、三里屯阳光温馨大卧室,20平米,Female,198,xiyao,3室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6225467316.html,4.9分
北京市大兴区永大路瑞公馆,《京宿5》温馨家园，欢迎你的到来,65平米,Male,369,北京我的家民宿,1室1厅1卫1厨0阳台,北京,宜住4人,共3张,http://bj.xiaozhu.com/fangzi/6652981516.html,4.8分
北京市朝阳区大山子彩虹路6号(798艺术区往北300米),03温馨卧室、电通中赫、798园区、清新小资,12平米,Female,218,暖阳洋Sunny,2室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/1032405259.html,4.9分
北京市海淀区罗庄南里,（北航，北医三院，北影）知春路地铁口精致2居,67平米,Female,498,北京点点公寓,2室1厅1卫1厨1阳台,北京,宜住5人,共3张,http://bj.xiaozhu.com/fangzi/10002527460.html,4.8分
北京市朝阳区四惠地铁旁600米,地铁直达天安门国贸长安街沿线北美主题一居室,52平米,Female,398,lily家园,1室1厅1卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/5370699414.html,5分
北京市朝阳区大山子彩虹路6号（798艺术区往北300米),03独立卫浴、紧邻798、望京、酒仙桥。,28平米,Female,288,暖阳洋Sunny,3室2厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/2858375162.html,5分
北京市朝阳区阳光100国际公寓,超高性价比，温泉入户，商务国际公寓,20平米,Female,298,萍水相逢也是亲,4室2厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/576923300.html,5分
北京市朝阳区双井苹果社区北区,20国贸双井CBD暮光电影主题开间A,50平米,Male,518,弥邸设计师公寓,1室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/4259632014.html,4.9分
北京市西城区吾家可归03号（小恭王府）柳荫街与大翔凤胡同交叉口,恭王府-【吾家可归】独院东厢房,100平米,Male,1200,吾家可归,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/8747281864.html,nan
北京市朝阳区后现代城,天安门欢乐谷地铁后现代城三居,110平米,Male,548,快乐屋,3室1厅1卫1厨1阳台,北京,宜住8人,共4张,http://bj.xiaozhu.com/fangzi/11428581760.html,5分
北京市朝阳区百子湾路32号 苹果社区北区 2C,国贸双井新装工业风开间，可居住、办公和爬梯。,60平米,Male,498,chinatonyli,1室0厅1卫1厨0阳台,北京,宜住3人,共2张,http://bj.xiaozhu.com/fangzi/4375266614.html,5分
北京市顺义区后沙峪火沙路和裕安路交叉口西行400米,首都机场新国展商务一居，可住5人,60平米,Female,298,Aliee漫宿,1室0厅1卫1厨1阳台,北京,宜住2人,共4张,http://bj.xiaozhu.com/fangzi/11176722059.html,4.6分
北京市通州区砖厂北里142号,通州土桥城铁站附近自由筑精装LOFT2居复式,68平米,Female,268,孙哲1,2室1厅1卫1厨0阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/12162253302.html,5分
北京市朝阳区南沙滩(15号线北沙滩站),地铁北四环配净化器美式实木家具品质舒适大两居,93平米,Male,528,蓝加菲,2室1厅1卫1厨2阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/541769701.html,5分
北京市朝阳区东柏街10号院时代国际嘉园,长租优惠【爱丽丝梦游仙境】CBD国贸双井地铁,45平米,Female,358,猪小春,1室1厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6308527016.html,4.8分
北京市昌平区东三旗村西,天通苑北聚会首选别墅之揽月,300平米,Male,1980,王斌少,5室3厅2卫1厨1阳台,北京,宜住大于10人,共4张,http://bj.xiaozhu.com/fangzi/1711910435.html,4.8分
北京市海淀区复兴路28号,301医院内专家楼精品民宿超豪华套房陪护首选,55平米,Male,598,小猪用户1087390***...,2室0厅1卫1厨1阳台,北京,宜住5人,共3张,http://bj.xiaozhu.com/fangzi/16142064601.html,nan
北京市朝阳区北沙滩7号院中天国际小区,{可月租}8紧邻鸟巢·星星的你电影主题开间A,60平米,Female,298,弥邸设计师民宿,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/2133918460.html,4.8分
北京市朝阳区国美第一城,朝阳大悦城青年路高品质舒适大两居,94平米,Female,518,in巴黎清晨,2室2厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/16209896803.html,nan
北京市海淀区复兴路28号,301医院内部专家楼豪华私密二居室,75平米,Male,1099,小猪用户1087390***...,2室0厅1卫1厨1阳台,北京,宜住7人,共3张,http://bj.xiaozhu.com/fangzi/15881453603.html,5分
北京市海淀区霍营soco公社,地铁13号线8号线霍营回龙观立水桥大床主卧,10平米,Female,149,是丘山啊,2室1厅1卫0厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/10284236759.html,4.9分
北京市西城区真武庙头条,空调房长安街地铁旁近天安门央音金融街儿童医院,15平米,Female,330,Ms_ZZ,2室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/4088207930.html,4.9分
北京市朝阳区高碑店东区A23栋,紧邻CBD地铁八通线高碑店站150平米复式,150平米,Male,690,可爱的小饭票儿,3室2厅2卫1厨0阳台,北京,宜住6人,共4张,http://bj.xiaozhu.com/fangzi/1525854635.html,4.9分
北京市朝阳区亚运村亚奥观典国际公寓,{可月租}15紧邻鸟巢·殿堂主题开间B,55平米,Female,398,弥邸设计师民宿,1室0厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/1166882375.html,4.9分
北京市朝阳区百环家园,（特价新房）市中心国贸天安门故宫颐和园大户型,140平米,Male,700,快乐屋,3室1厅1卫1厨1阳台,北京,宜住9人,共4张,http://bj.xiaozhu.com/fangzi/12852204102.html,nan
北京市朝阳区九龙花园,国贸天安门故宫颐和园前门798旅游商务三居6,130平米,Male,598,快乐屋,3室1厅1卫1厨1阳台,北京,宜住7人,共3张,http://bj.xiaozhu.com/fangzi/10099922660.html,4.9分
北京市朝阳区芍药居甲(隆远阁),芍药居地铁10号线邻对外经贸阳光双大床房整租,70平米,Male,499,maoertangtang,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/3708542930.html,5分
北京市朝阳区水岸南街与清河营东路交口东南角乐想汇2号楼,《特价》北苑地铁13号 鸟巢 水立方奥森一居,54平米,Female,268,凡心1023,1室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/9767390063.html,5分
北京市朝阳区朝阳北路柏林爱乐小区4期14号楼,近传媒二外直达国贸CBD六号线黄渠带花园一居,80平米,Female,250,Emma的小家,1室1厅1卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/16904730403.html,nan
北京市朝阳区五基街，翠城馨园402号楼,欢乐谷附近欧式精装特价房,90平米,Female,488,Liuhui321,2室1厅1卫1厨1阳台,北京,宜住5人,共2张,http://bj.xiaozhu.com/fangzi/3765270929.html,5分
北京市朝阳区西坝河东里81楼,三元桥老国展西坝河便捷温馨两居,62平米,Male,385,haveyuan12,2室1厅1卫1厨0阳台,北京,宜住4人,共3张,http://bj.xiaozhu.com/fangzi/5092860814.html,4.8分
北京市朝阳区望京西园419号,798-望京Soho-央美-北欧大床房-心舍,11平米,Male,348,alexlee2046,2室2厅1卫1厨0阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6085052416.html,nan
北京市朝阳区大黄庄西路3号院金隅汇星苑,【新房特惠】青年路财满街阳光主卧大床房,20平米,Female,199,Jessie0709,3室1厅1卫1厨1阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/6850177615.html,5分
北京市朝阳区水岸南街北京城建N次方,鸟巢奥森13+5号线北苑立水桥北欧风Loft,60平米,Female,389,大老师_,1室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/9921305160.html,5分
北京市朝阳区奥运村北沙滩7号院中天国际,{可月租}6紧邻鸟巢·超级英雄电影主题两居A,63平米,Female,438,弥邸设计师民宿,1室0厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/1673167135.html,4.9分
北京市昌平区发展路8号院，尚城,生命科学园地铁站、珠江摩尔大厦、阳台单间整租,25平米,Male,178,基督山伯爵127,3室1厅2卫1厨2阳台,北京,宜住2人,共1张,http://bj.xiaozhu.com/fangzi/9382993664.html,4.7分
北京市西城区里仁街2号院,陶然亭花田小院独立花园院落近北京南站可住5人,98平米,Male,1080,花田小院,2室2厅2卫1厨0阳台,北京,宜住5人,共3张,http://bj.xiaozhu.com/fangzi/4749181413.html,5分
北京市朝阳区甜水园东街,南北通透金台路 朝阳公园 妇产医院 温馨两居,60平米,Male,519,joystar5,2室1厅1卫1厨1阳台,北京,宜住4人,共2张,http://bj.xiaozhu.com/fangzi/1809151135.html,5分
